"ID","Sex","BirthYear","Status","Year","Age","Weight","PopSize","Survival","UniqueExtractionID","qPCRPlate","qPCRRow","LowPurity","RTL","DateCollect","DateProc","Condition","Strongyles","Strongyloides","Coccidea","Nematodirus","Trichuris","Capillaria","Monezia","Person","DateCollect_dmy","MonthofCollection"
7575,"F",2010,"Dead",2012,2,21.8,362,1,371,8,"F",0,1.15290429323071,"14-Aug-12","29-Aug-12",1,0,NA,300,0,0,0,2,"JGP","2012-08-14",8
7575,"F",2010,"Dead",2013,3,23.3,545,1,1791,38,"F",0,1.4533850161319,"18-Aug-13","18-Aug-13",1,100,NA,300,0,0,0,2,"JGP","2013-08-18",8
7575,"F",2010,"Dead",2014,4,22.85,482,1,2216,46,"B",0,1.65898460467165,"09-Aug-14","27-Aug-14",2,0,NA,500,0,0,0,2,"JGP","2014-08-09",8
7575,"F",2010,"Dead",2015,5,22.45,513,1,3508,73,"F",0,1.15677111622308,"07-Aug-15","22-Aug-15",2,200,NA,400,0,0,0,2,"JGP","2015-08-07",8
7576,"F",2010,"Alive",2010,0,9.7,672,1,2711,57,"G",0,1.93375548039353,"10-Aug-10","31-Aug-10",1.5,200,NA,5200,0,0,0,2,"JGP","2010-08-10",8
7576,"F",2010,"Alive",2011,1,14.1,649,1,3260,68,"C",0,1.71630674765156,"11-Aug-11","29-Aug-11",2,0,NA,1000,0,0,0,2,"JGP","2011-08-11",8
7576,"F",2010,"Alive",2012,2,21.8,362,1,3951,84,"D",0,1.63953980827991,"15-Aug-12","28-Aug-12",1,400,NA,600,0,0,0,2,"JGP","2012-08-15",8
7576,"F",2010,"Alive",2013,3,23.79,545,1,1674,95,"D",0,2.4212582786983,"12-Aug-13","26-Aug-13",2,0,NA,200,0,0,0,2,"JGP","2013-08-12",8
7576,"F",2010,"Alive",2014,4,22.7,482,1,2456,51,"E",0,1.84249964104932,"09-Aug-14","27-Aug-14",1.5,0,NA,1200,0,0,0,2,"JGP","2014-08-09",8
7576,"F",2010,"Alive",2015,5,21.2,513,1,3633,75,"D",0,2.36413806125964,"07-Aug-15","22-Aug-15",1.5,200,NA,800,0,0,0,2,"JGP","2015-08-07",8
7576,"F",2010,"Alive",2016,6,22.8,444,1,2862,60,"G",0,1.96543314777163,"14-Aug-16","30-Aug-16",2,0,0,1800,0,0,0,2,"JGP","2016-08-14",8
7577,"F",2010,"Dead",2010,0,9.2,672,0,4153,88,"H",0,2.00627503746656,"10-Aug-10","31-Aug-10",1,200,NA,18800,0,0,0,2,"JGP","2010-08-10",8
7578,"F",2010,"Dead",2010,0,9.1,672,0,2548,53,"B",0,1.48946602234686,"12-Aug-10","01-Sep-10",1,700,NA,1000,200,0,0,1,"JGP","2010-08-12",8
7580,"M",2010,"Dead",2010,0,10.6,672,0,2922,82,"H",0,1.64751722220194,"17-Aug-10","02-Sep-10",1,400,NA,2800,0,0,0,2,"JGP","2010-08-17",8
7582,"M",2010,"Dead",2010,0,11.6,672,0,2289,48,"D",0,1.74635778796186,"10-Aug-10","31-Aug-10",1.5,600,NA,12000,0,0,0,2,"JGP","2010-08-10",8
7586,"M",2010,"Dead",2010,0,16.5,672,0,1978,96,"B",0,1.93060583773801,"17-Aug-10","02-Sep-10",1,300,NA,3600,200,0,0,2,"JGP","2010-08-17",8
7591,"F",2010,"Dead",2010,0,12.9,672,0,2659,56,"B",0,2.07828517662533,"17-Aug-10","02-Sep-10",3,200,NA,2200,0,0,0,2,"JGP","2010-08-17",8
7593,"F",2010,"Alive",2013,3,19.2,545,1,991,21,"F",0,1.63778336422866,"20-Aug-13","04-Sep-13",1.5,500,NA,400,0,0,0,2,"JGP","2013-08-20",8
7593,"F",2010,"Alive",2014,4,20.8,482,1,2779,58,"C",0,1.1072094302425,"19-Aug-14","30-Aug-14",1.5,0,NA,1000,0,0,0,2,"JGP","2014-08-19",8
7593,"F",2010,"Alive",2015,5,20.8,513,1,3715,77,"G",0,1.77317953663818,"17-Aug-15","24-Aug-15",2,0,0,2800,0,0,0,2,"JGP","2015-08-17",8
7682,"M",2010,"Dead",2010,0,13.3,672,0,2201,46,"C",0,1.72937437656465,"10-Aug-10","31-Aug-10",1,400,NA,3600,0,0,0,2,"JGP","2010-08-10",8
7683,"F",2010,"Dead",2010,0,12.2,672,0,2628,55,"C",0,1.64826826542456,"22-Aug-10","02-Sep-10",1,900,NA,3500,0,0,0,2,"JGP","2010-08-22",8
7687,"F",2010,"Dead",2014,4,21.95,482,0,2248,47,"C",0,1.49348020024302,"15-Aug-14","28-Aug-14",1.5,700,NA,200,0,0,0,2,"JGP","2014-08-15",8
7692,"F",2010,"Alive",2010,0,15.9,672,1,2141,45,"G",0,2.28424020662687,"24-Aug-10","02-Sep-10",1,0,NA,24000,0,0,0,2,"JGP","2010-08-24",8
7692,"F",2010,"Alive",2014,4,27.2,482,1,2308,48,"G",0,2.04020310835854,"15-Aug-14","28-Aug-14",1.5,100,NA,600,0,0,0,2,"JGP","2014-08-15",8
7692,"F",2010,"Alive",2016,6,27.65,444,1,1947,41,"C",0,1.61571833610435,"20-Aug-16","02-Sep-16",1.5,0,100,1000,0,0,0,2,"JGP","2016-08-20",8
7693,"M",2010,"Dead",2010,0,11.6,672,0,2579,54,"A",0,1.78753175876698,"24-Aug-10","02-Sep-10",1,200,NA,7800,0,0,0,2,"JGP","2010-08-24",8
7698,"F",2009,"Alive",2014,5,21.15,482,1,4208,89,"H",0,1.62039847478397,"15-Aug-14","28-Aug-14",1.5,0,NA,300,0,0,0,2,"JGP","2014-08-15",8
7709,"M",2010,"Dead",2010,0,14.8,672,0,2209,46,"C",0,1.98311067991297,"19-Aug-10","02-Sep-10",1,200,NA,6000,600,0,0,2,"JGP","2010-08-19",8
7713,"M",2010,"Dead",2010,0,10.2,672,0,2906,82,"H",0,2.16832844265552,"24-Aug-10","02-Sep-10",1,1600,NA,240000,100,0,0,1,"JGP","2010-08-24",8
7716,"M",2010,"EstDead",2010,0,11.4,672,0,2924,82,"B",0,2.12333747569184,"22-Aug-10","02-Sep-10",1,2200,NA,6000,0,0,0,1,"JGP","2010-08-22",8
7717,"F",2010,"Dead",2010,0,11.7,672,1,2169,45,"C",0,1.7423798322075,"22-Aug-10","02-Sep-10",1,300,NA,12000,200,0,0,2,"JGP","2010-08-22",8
7717,"F",2010,"Dead",2011,1,12.4,649,0,3179,66,"A",0,1.54588707989512,"11-Aug-11","29-Aug-11",1.5,0,NA,1400,0,0,0,2,"JGP","2011-08-11",8
7718,"F",2010,"Dead",2010,0,9.8,672,0,2242,47,"E",0,1.71607481035629,"10-Aug-10","31-Aug-10",1.5,1200,NA,4900,0,0,0,2,"JGP","2010-08-10",8
7727,"M",2010,"Dead",2011,1,17,649,0,3739,78,"G",0,1.9344079593279,"13-Aug-11","30-Aug-11",2,600,NA,1000,0,0,0,2,"JGP","2011-08-13",8
8213,"F",2011,"EstDead",2011,0,11.1,649,0,3635,75,"F",0,1.95627363349293,"11-Aug-11","27-Aug-11",1,400,NA,9600,0,0,0,2,"JGP","2011-08-11",8
8220,"M",2011,"Dead",2011,0,14.1,649,0,3604,75,"G",0,2.1338692324889,"13-Aug-11","30-Aug-11",2,1600,NA,7200,200,0,0,2,"JGP","2011-08-13",8
8227,"M",2011,"EstDead",2011,0,14.2,649,0,3654,76,"A",0,1.99713022160769,"27-Aug-11","31-Aug-11",1,600,NA,3600,100,0,0,2,"JGP","2011-08-27",8
8228,"M",2011,"Dead",2011,0,12.3,649,0,3428,71,"E",0,2.12079489832568,"27-Aug-11","31-Aug-11",1.5,200,NA,4800,0,0,0,2,"JGP","2011-08-27",8
8229,"M",2011,"Dead",2011,0,14.9,649,0,3360,70,"H",0,1.85042659766273,"11-Aug-11","29-Aug-11",1,1200,NA,48000,300,0,0,1,"JGP","2011-08-11",8
8231,"M",2011,"Dead",2011,0,11.8,649,0,3169,66,"G",0,2.04740217837666,"11-Aug-11","29-Aug-11",1,1500,NA,3400,800,0,0,2,"JGP","2011-08-11",8
8236,"F",2011,"EstDead",2011,0,10.1,649,0,2974,62,"B",0,2.1034902128264,"11-Aug-11","29-Aug-11",1,400,NA,2000,0,0,0,2,"JGP","2011-08-11",8
8237,"F",2011,"Dead",2011,0,13.1,649,0,3504,73,"B",0,1.85008535318743,"11-Aug-11","29-Aug-11",2,300,NA,24000,300,0,0,2,"JGP","2011-08-11",8
8238,"F",2011,"Dead",2011,0,8.6,649,0,3810,79,"G",0,2.19624072633025,"11-Aug-11","29-Aug-11",1,3000,NA,24000,500,0,0,2,"JGP","2011-08-11",8
8239,"M",2011,"Dead",2011,0,10.5,649,0,3852,80,"A",0,1.93597444072367,"11-Aug-11","27-Aug-11",1,900,NA,4200,0,0,0,2,"JGP","2011-08-11",8
8240,"F",2011,"Dead",2012,1,18.3,362,1,175,93,"B",0,1.85260590969491,"14-Aug-12","01-Sep-12",1.5,300,NA,8200,0,0,0,2,"JGP","2012-08-14",8
8240,"F",2011,"Dead",2015,4,20,513,1,3447,71,"H",0,1.47902312374616,"07-Aug-15","22-Aug-15",2,100,NA,1000,0,0,0,2,"JGP","2015-08-07",8
8240,"F",2011,"Dead",2016,5,21.85,444,1,2426,51,"G",0,2.39312330683877,"14-Aug-16","30-Aug-16",1.5,200,0,800,0,0,0,2,"JGP","2016-08-14",8
8246,"M",2011,"Dead",2011,0,9.2,649,0,3279,68,"F",0,1.51021527088668,"15-Aug-11","01-Sep-11",1,1000,NA,3600,0,0,0,2,"JGP","2011-08-15",8
8247,"M",2011,"EstDead",2011,0,12.7,649,0,3873,80,"F",0,1.85850563011736,"15-Aug-11","01-Sep-11",1,700,NA,36000,0,0,0,2,"JGP","2011-08-15",8
8252,"M",2011,"Dead",2011,0,13.3,649,0,3333,69,"E",0,2.20766729233588,"11-Aug-11","29-Aug-11",1,1300,NA,6600,0,0,0,2,"JGP","2011-08-11",8
8254,"F",2011,"EstDead",2011,0,14.4,649,0,3036,63,"A",0,1.19049334010265,"13-Aug-11","30-Aug-11",2,200,NA,3800,0,0,0,2,"JGP","2011-08-13",8
8255,"F",2011,"Dead",2011,0,12.3,649,0,3018,62,"F",0,1.92975138580442,"16-Aug-11","31-Aug-11",1.5,800,NA,3000,0,0,0,2,"JGP","2011-08-16",8
8256,"F",2011,"EstDead",2011,0,9.9,649,0,3876,82,"D",0,2.00282411159402,"11-Aug-11","29-Aug-11",1,400,NA,12000,0,0,0,2,"JGP","2011-08-11",8
8257,"F",2011,"Dead",2011,0,11.3,649,0,3172,66,"B",0,2.11721641067254,"11-Aug-11","29-Aug-11",1,200,NA,3200,0,0,0,2,"JGP","2011-08-11",8
8258,"F",2011,"Alive",2011,0,12.7,649,1,3314,69,"B",0,1.8289793861763,"11-Aug-11","29-Aug-11",1,0,NA,2500,0,0,0,2,"JGP","2011-08-11",8
8258,"F",2011,"Alive",2013,2,19.75,545,1,1555,33,"H",0,1.63873473113464,"15-Aug-13","03-Sep-13",2,200,NA,200,0,0,0,2,"JGP","2013-08-15",8
8258,"F",2011,"Alive",2014,3,21.6,482,1,2268,47,"G",0,1.54277213924821,"09-Aug-14","27-Aug-14",2,100,NA,200,0,0,0,2,"JGP","2014-08-09",8
8258,"F",2011,"Alive",2015,4,20.15,513,1,3418,71,"C",0,1.19466830115211,"07-Aug-15","22-Aug-15",3,0,NA,700,0,0,0,2,"JGP","2015-08-07",8
8258,"F",2011,"Alive",2016,5,22.7,444,1,1995,42,"C",0,2.03198982170601,"14-Aug-16","30-Aug-16",3,0,0,0,0,0,0,2,"JGP","2016-08-14",8
8259,"M",2011,"Dead",2011,0,11.9,649,0,3309,69,"E",0,2.4145456482181,"15-Aug-11","01-Sep-11",1,400,NA,2800,100,0,0,1,"JGP","2011-08-15",8
8263,"M",2011,"Dead",2011,0,10.8,649,0,3048,63,"E",0,2.2441949270337,"11-Aug-11","29-Aug-11",1,1400,NA,12000,0,0,0,2,"JGP","2011-08-11",8
8265,"F",2011,"Dead",2011,0,13.4,649,1,3752,78,"D",0,1.90531125407574,"15-Aug-11","01-Sep-11",1,200,NA,12000,100,0,0,2,"JGP","2011-08-15",8
8265,"F",2011,"Dead",2016,5,23.45,444,1,2048,43,"A",0,2.21160666120015,"16-Aug-16","02-Sep-16",2,200,0,0,0,0,0,2,"JGP","2016-08-16",8
8267,"M",2011,"EstDead",2011,0,15.6,649,0,3828,80,"A",0,2.19450659932708,"11-Aug-11","29-Aug-11",1,300,NA,4800,0,0,0,1,"JGP","2011-08-11",8
8269,"F",2011,"Dead",2011,0,13.3,649,0,3769,78,"E",0,1.55393734812489,"11-Aug-11","29-Aug-11",1.5,800,NA,4800,200,0,0,2,"JGP","2011-08-11",8
8270,"M",2011,"Dead",2011,0,9.9,649,0,4332,92,"E",0,1.8795641085571,"27-Aug-11","31-Aug-11",1,2200,NA,5000,1000,0,0,2,"JGP","2011-08-27",8
8271,"M",2011,"Dead",2011,0,12.7,649,0,3436,71,"E",0,1.64983180218459,"11-Aug-11","29-Aug-11",1.5,1000,NA,6400,0,0,0,2,"JGP","2011-08-11",8
8273,"F",2011,"Dead",2011,0,5.5,649,0,3098,64,"G",0,1.89322779574093,"27-Aug-11","31-Aug-11",1.5,1900,NA,7200,200,0,0,2,"JGP","2011-08-27",8
8276,"M",2011,"EstDead",2011,0,14.7,649,0,3636,75,"G",0,1.52328748044796,"11-Aug-11","30-Aug-11",1,1200,NA,7000,800,0,0,1,"JGP","2011-08-11",8
8277,"F",2011,"Dead",2011,0,6.2,649,0,2998,62,"B",0,1.6588815962162,"11-Aug-11","30-Aug-11",1.5,2800,NA,3600,0,0,0,2,"JGP","2011-08-11",8
8278,"M",2011,"Dead",2011,0,5.9,649,0,3779,78,"G",0,1.84676883082018,"11-Aug-11","30-Aug-11",1,3800,NA,12000,100,0,0,2,"JGP","2011-08-11",8
