"ID","Sex","BirthYear","Status","DeathYear","Year","PopSize","Age","Weight","Survival","UniqueExtractionID","SampleYear","qPCRPlate","qPCRRow","LowPurity","RTL","DateCollect","DateProc","Condition","Strongyles","Strongyloides","Coccidea","Nematodirus","Trichuris","Capillaria","Monezia","Person"
7267,"F",2009,"Dead",2016,2012,362,3,23.9,1,900,2012,19,"E","0",1.90818670063176,"14-Aug-12","01-Sep-12",1.5,100,NA,800,0,0,0,2,"JGP"
7267,"F",2009,"Dead",2016,2013,545,4,23.95,1,1511,2013,32,"C","0",1.52750914298142,"12-Aug-13","26-Aug-13",1.5,100,NA,4800,0,0,0,2,"JGP"
7267,"F",2009,"Dead",2016,2015,513,6,21.95,0,3539,2015,73,"E","0",1.66923644877694,"07-Aug-15","22-Aug-15",2,0,NA,14000,0,0,0,2,"JGP"
7307,"M",2009,"Dead",2010,2009,617,0,9.1,0,59,2009,2,"C","0",1.91125080289709,"18-Aug-09","01-Sep-09",1.5,1600,NA,30000,300,0,0,2,"JGP"
7326,"M",2009,"Unknown",NA,2009,617,0,15.1,1,3904,2009,83,"E","0",1.61005690999804,"19-Aug-09","01-Sep-09",1.5,100,NA,2400,0,0,0,2,"JGP"
7326,"M",2009,"Unknown",NA,2010,672,1,19,0,2167,2010,45,"A","0",2.13401450448193,"17-Aug-10","01-Sep-10",1,300,NA,300,0,0,0,2,"JGP"
7327,"M",2009,"Dead",2010,2009,617,0,16.1,0,42,2009,1,"B","0",2.09733482061286,"12-Aug-09","30-Aug-09",1,800,NA,500,0,0,0,1,"JGP"
7328,"M",2009,"Dead",2010,2009,617,0,10.7,0,266,2009,6,"D","0",1.51331407063684,"12-Aug-09","28-Aug-09",1.5,0,NA,6600,0,0,0,2,"JGP"
7329,"F",2009,"Dead",2009,2009,617,0,9.3,0,871,2009,19,"H","0",1.78407415530743,"17-Aug-09","01-Sep-09",1.5,50,NA,24000,0,0,0,2,"JGP"
7332,"M",2009,"Dead",2010,2009,617,0,12.6,0,116,2009,3,"E","0",1.58012723662612,"17-Aug-09","01-Sep-09",1,1200,NA,3000,0,0,0,2,"JGP"
7336,"F",2009,"Alive",NA,2010,672,1,17.9,1,2050,2010,43,"C","0",1.97267466282675,"17-Aug-10","01-Sep-10",2,0,NA,200,0,0,0,2,"JGP"
7336,"F",2009,"Alive",NA,2016,444,7,25.8,1,2219,2016,46,"E","0",1.83608863410015,"20-Aug-16","02-Sep-16",2,0,0,100,0,0,0,2,"JGP"
7337,"M",2009,"Dead",2010,2009,617,0,12,0,235,2009,5,"E","0",2.06819150662745,"30-Aug-09","01-Sep-09",1,1600,NA,12000,0,0,0,2,"JGP"
7339,"M",2009,"EstDead",2012,2010,672,1,23.2,1,2265,2010,47,"D","0",1.48763609420429,"17-Aug-10","01-Sep-10",3,200,NA,400,0,0,0,2,"JGP"
7339,"M",2009,"EstDead",2012,2011,649,2,31,0,4379,2011,93,"E","0",1.5640499684422,"15-Aug-11","01-Sep-11",2,500,NA,200,0,0,0,2,"JGP"
7437,"M",2010,"Dead",2011,2010,672,0,11.5,0,2341,2010,49,"A","0",2.03856240907906,"17-Aug-10","02-Sep-10",1,1000,NA,12000,0,0,0,2,"JGP"
